dataset,model,confidence_threshold,n_images,det_rate,weird_rate,high_conf_weird_rate,box_jump_rate,bad_rate,max_bad_streak,p95_bad_streak,bad_streaks_over_50,max_good_streak,mean_top1_conf,median_top1_conf,low_conf_rate,no_detection_rate
lab,adapter_base,0.4,20,0.6000000238418579,0.10000000149011612,0.0,0.05263157933950424,0.4000000059604645,6,5.800000190734863,0,7,0.5406178832054138,0.5877190232276917,0.4000000059604645,0.0
lab,membank_prev,0.4,20,0.6000000238418579,0.10000000149011612,0.0,0.05263157933950424,0.4000000059604645,6,5.800000190734863,0,7,0.5245162844657898,0.5739260911941528,0.4000000059604645,0.0
lab,source_anchor,0.4,20,0.699999988079071,0.10000000149011612,0.0,0.05263157933950424,0.30000001192092896,3,2.9000000953674316,0,7,0.5431524515151978,0.6271286010742188,0.30000001192092896,0.0
lab,fda_mix,0.5,20,0.6499999761581421,0.8500000238418579,0.10000000149011612,0.0,1.0,20,20.0,0,0,0.554697573184967,0.596440851688385,0.3499999940395355,0.0
lab,current_odad,0.5,20,0.8999999761581421,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.10000000149011612,0.0
lab,adapter_base,0.5,20,0.550000011920929,0.10000000149011612,0.0,0.05263157933950424,0.44999998807907104,6,5.599999904632568,0,7,0.5406178832054138,0.5877190232276917,0.44999998807907104,0.0
lab,membank_prev,0.5,20,0.550000011920929,0.10000000149011612,0.0,0.05263157933950424,0.44999998807907104,6,5.599999904632568,0,7,0.5245162844657898,0.5739260911941528,0.44999998807907104,0.0
lab,source_anchor,0.5,20,0.550000011920929,0.10000000149011612,0.0,0.05263157933950424,0.44999998807907104,6,5.599999904632568,0,7,0.5431524515151978,0.6271286010742188,0.44999998807907104,0.0
lab,fda_mix,0.6,20,0.5,0.8500000238418579,0.10000000149011612,0.0,1.0,20,20.0,0,0,0.554697573184967,0.596440851688385,0.5,0.0
lab,current_odad,0.6,20,0.8500000238418579,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.15000000596046448,0.0
lab,adapter_base,0.6,20,0.5,0.10000000149011612,0.0,0.05263157933950424,0.5,8,7.699999809265137,0,7,0.5406178832054138,0.5877190232276917,0.5,0.0
lab,membank_prev,0.6,20,0.5,0.10000000149011612,0.0,0.05263157933950424,0.5,8,7.699999809265137,0,7,0.5245162844657898,0.5739260911941528,0.5,0.0
lab,source_anchor,0.6,20,0.550000011920929,0.10000000149011612,0.0,0.05263157933950424,0.44999998807907104,6,5.599999904632568,0,7,0.5431524515151978,0.6271286010742188,0.44999998807907104,0.0
lab,fda_mix,0.7,20,0.10000000149011612,0.8500000238418579,0.10000000149011612,0.0,1.0,20,20.0,0,0,0.554697573184967,0.596440851688385,0.8999999761581421,0.0
lab,current_odad,0.7,20,0.8500000238418579,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.15000000596046448,0.0
lab,adapter_base,0.7,20,0.3499999940395355,0.10000000149011612,0.0,0.05263157933950424,0.6499999761581421,11,10.550000190734863,0,4,0.5406178832054138,0.5877190232276917,0.6499999761581421,0.0
lab,membank_prev,0.7,20,0.30000001192092896,0.10000000149011612,0.0,0.05263157933950424,0.699999988079071,14,14.0,0,4,0.5245162844657898,0.5739260911941528,0.699999988079071,0.0
lab,source_anchor,0.7,20,0.3499999940395355,0.10000000149011612,0.0,0.05263157933950424,0.6499999761581421,11,10.550000190734863,0,4,0.5431524515151978,0.6271286010742188,0.6499999761581421,0.0
lab,fda_mix,0.8,20,0.05000000074505806,0.8500000238418579,0.10000000149011612,0.0,1.0,20,20.0,0,0,0.554697573184967,0.596440851688385,0.949999988079071,0.0
lab,current_odad,0.8,20,0.8500000238418579,1.0,0.8500000238418579,0.0,1.0,20,20.0,0,0,0.8321433067321777,0.9132484197616577,0.15000000596046448,0.0
lab,adapter_base,0.8,20,0.25,0.10000000149011612,0.0,0.05263157933950424,0.75,15,15.0,0,3,0.5406178832054138,0.5877190232276917,0.75,0.0
lab,membank_prev,0.8,20,0.25,0.10000000149011612,0.0,0.05263157933950424,0.75,15,15.0,0,3,0.5245162844657898,0.5739260911941528,0.75,0.0
lab,source_anchor,0.8,20,0.25,0.10000000149011612,0.0,0.05263157933950424,0.75,15,15.0,0,3,0.5431524515151978,0.6271286010742188,0.75,0.0
