frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,update_applied,updates_this_frame,batch_size_used,det_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
268,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00269.jpg,0.846432,1,4,32,1,1,4,8.410254,13.209,0.810601,13.434,659.092,698.988
269,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00270.jpg,0.859622,1,4,32,1,1,4,7.912456,12.657,0.831722,15.179,568.932,608.518
270,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00271.jpg,0.781212,0,4,32,1,1,4,8.158082,13.395,0.747808,12.154,418.478,455.888
271,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00272.jpg,0.836480,1,4,32,1,1,4,8.501846,12.346,0.818029,14.208,376.657,416.006
272,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00273.jpg,0.882029,1,4,32,1,1,4,8.468130,12.276,0.899714,12.307,681.984,720.684
273,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00274.jpg,0.886825,1,4,32,1,1,4,8.246164,14.498,0.877345,12.736,386.184,427.341
274,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00275.jpg,0.912095,1,4,32,1,1,4,7.368432,11.886,0.915365,12.708,554.849,591.252
275,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00276.jpg,0.903994,1,4,32,1,1,4,8.635619,13.631,0.904478,12.923,588.016,627.721
276,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00277.jpg,0.829431,1,4,32,1,1,4,8.377887,11.982,0.774253,12.318,671.295,707.039
277,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00278.jpg,0.865961,1,4,32,1,1,4,7.588113,12.365,0.855700,12.407,471.958,589.447
278,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00279.jpg,0.842042,1,4,32,1,1,4,7.477408,12.017,0.805785,12.506,646.604,683.939
279,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00280.jpg,0.842062,1,4,32,1,1,4,8.259635,13.348,0.805653,12.647,475.381,512.995
280,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00281.jpg,0.896933,1,4,32,1,1,4,8.346102,12.427,0.886160,12.750,503.381,540.231
281,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00282.jpg,0.887660,1,4,32,1,1,4,8.829292,12.112,0.885809,12.560,566.066,604.025
282,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00283.jpg,0.875470,1,4,32,1,1,4,8.387741,12.328,0.879436,11.733,702.086,737.529
283,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00284.jpg,0.841620,1,4,32,1,1,4,7.632301,12.783,0.802729,11.959,388.224,424.061
284,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00285.jpg,0.783456,0,4,32,1,1,4,8.417418,11.919,0.711984,12.658,526.687,562.806
285,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00286.jpg,0.838108,1,4,32,1,1,4,9.093380,12.509,0.795896,12.214,257.764,294.247
286,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00287.jpg,0.870036,1,4,32,1,1,4,7.884079,12.643,0.833390,12.796,459.050,497.550
287,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00288.jpg,0.849903,1,4,32,1,1,4,8.279508,12.472,0.812498,13.264,787.647,826.407
288,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00289.jpg,0.863578,1,4,32,1,1,4,7.047936,13.505,0.843619,12.574,666.865,707.057
289,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00290.jpg,0.846952,1,4,32,1,1,4,7.010689,13.049,0.807527,12.841,513.611,550.971
290,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00291.jpg,0.822114,1,4,32,1,1,4,7.202798,12.155,0.845756,14.025,392.060,429.903
291,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00292.jpg,0.869593,1,4,32,1,1,4,9.959103,12.594,0.879859,12.403,637.254,674.300
292,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00293.jpg,0.822139,1,4,32,1,1,4,11.108860,12.433,0.781639,13.374,512.917,551.883
293,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00294.jpg,0.843713,1,4,32,1,1,4,11.209660,13.197,0.828321,12.776,501.951,539.348
294,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00295.jpg,0.849636,1,4,32,1,1,4,10.218426,13.450,0.838091,12.695,265.692,303.534
295,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00296.jpg,0.853500,1,4,32,1,1,4,8.022777,13.755,0.845191,12.604,503.284,541.089
296,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00297.jpg,0.860537,1,4,32,1,1,4,6.867985,12.825,0.858570,13.411,445.023,483.153
297,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00298.jpg,0.854820,1,4,32,1,1,4,6.300490,12.700,0.852854,12.844,794.722,831.974
298,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00299.jpg,0.854818,1,4,32,1,1,4,7.049398,13.871,0.855291,12.636,411.119,450.506
299,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00300.jpg,0.871457,1,4,32,1,1,4,7.168905,12.573,0.876745,12.706,623.502,662.143
