frame,path,teacher_top1_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,prototype_memory_size,update_applied,updates_this_frame,batch_size_used,det_loss,prototype_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.582385,0,0,0,0,0,0,,,0.405683,3.059290,0,0,0,0,0,0,,,,12.973,0.582385,12.776,0.000,36.412
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,0,0,0,,,0.230456,5.648712,0,0,0,0,0,0,,,,15.060,0.654145,13.191,0.000,38.423
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,1,0,0,,,0.001960,1.002877,0,0,0,0,0,0,,,,12.567,0.810247,12.136,0.000,33.960
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,1,0,0,,,0.004343,1.013998,0,0,0,0,0,0,,,,13.303,0.807693,13.466,0.000,36.552
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,1,0,0,,,0.002373,1.022551,0,0,0,0,0,0,,,,12.449,0.755115,12.099,0.000,34.838
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,12.838,0.755115,12.430,0.000,34.076
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.492451,0,0,0,0,0,0,,,0.224505,5.049832,0,0,0,0,0,0,,,,12.322,0.492451,11.928,0.000,34.494
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.194959,0,0,0,0,0,0,,,0.197010,5.680709,0,0,0,0,0,0,,,,13.049,0.194959,14.415,0.000,36.445
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,1,0,0,,,0.025416,1.073628,0,0,0,0,0,0,,,,12.159,0.510390,11.675,0.000,32.629
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.399717,0,0,0,0,0,0,,,0.193970,7.661099,0,0,0,0,0,0,,,,13.349,0.399717,12.988,0.000,35.842
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.679488,0,0,0,1,0,0,,,0.020624,1.128015,0,0,0,0,0,0,,,,13.064,0.679488,12.517,0.000,36.263
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.734312,0,0,0,1,0,0,,,0.063736,1.358659,0,0,0,0,0,0,,,,12.959,0.734312,12.595,0.000,34.455
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.664311,0,0,0,1,0,0,,,0.037911,1.145598,0,0,0,0,0,0,,,,12.087,0.664311,11.894,0.000,34.074
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.630266,0,0,0,1,0,0,,,0.031570,1.132426,0,0,0,0,0,0,,,,12.563,0.630266,12.664,0.000,34.156
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.630266,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,11.829,0.630266,12.135,0.000,34.676
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.509901,0,0,0,0,0,0,,,0.425115,2.832190,0,0,0,0,0,0,,,,12.816,0.509901,12.298,0.000,35.786
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.757477,0,0,0,0,0,0,,,0.364083,4.044739,0,0,0,0,0,0,,,,12.478,0.757477,12.295,0.000,33.626
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.482319,0,0,0,0,0,0,,,0.368768,4.217245,0,0,0,0,0,0,,,,12.732,0.482319,12.138,0.000,33.378
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.631844,0,0,0,0,0,0,,,0.435516,3.049534,0,0,0,0,0,0,,,,12.174,0.631844,13.323,0.000,33.971
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.631844,0,0,0,1,0,0,,,0.000000,1.000000,0,0,0,0,0,0,,,,12.369,0.631844,12.586,0.000,33.878
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,0.672385,0,0,0,1,0,0,,,0.006752,1.016723,0,0,0,0,0,0,,,,11.824,0.672385,11.992,0.000,33.065
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,0.737344,0,0,0,1,0,0,,,0.006004,1.026456,0,0,0,0,0,0,,,,12.789,0.737344,12.284,0.000,35.823
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.821736,0,0,0,1,0,0,0.495097,,0.130515,2.015178,0,0,0,0,0,0,,,,12.693,0.821736,12.323,0.000,35.254
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.821736,0,0,1,1,0,1,1.000000,,0.000000,1.000000,0,0,0,0,0,0,,,,12.959,0.821736,12.260,0.000,35.546
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.881057,1,1,1,1,1,2,0.936009,0.936009,0.006072,1.045485,0,1,1,0,0,0,,,,12.924,0.881057,12.827,0.000,36.330
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.757122,0,0,0,1,0,0,,,0.004011,1.023054,0,1,1,0,0,0,,,,12.969,0.757122,13.665,0.000,35.663
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.539118,0,0,0,0,0,0,,,0.321684,6.409406,0,1,1,0,0,0,,,,12.320,0.539118,12.013,0.000,33.256
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.821308,0,0,0,0,0,0,0.058369,,0.340859,5.742130,0,1,1,0,0,0,,,,12.818,0.821308,12.434,0.000,35.861
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.736399,0,0,0,1,0,0,,,0.009668,1.091031,0,1,1,0,0,0,,,,13.230,0.736399,12.264,0.000,36.043
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.852535,0,0,1,1,0,1,0.967504,,0.002862,1.015243,0,1,1,0,0,0,,,,12.961,0.852535,12.449,0.000,35.899
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.420537,0,0,0,0,0,0,,,0.397946,4.285356,0,1,1,0,0,0,,,,12.161,0.420537,11.959,0.000,32.627
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.436161,0,0,0,0,0,0,,,0.516730,1.943945,0,1,1,0,0,0,,,,12.499,0.436161,13.221,0.000,36.361
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,0.436161,0,0,0,1,0,0,,,0.000000,1.000000,0,1,1,0,0,0,,,,11.801,0.436161,12.110,0.000,32.894
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.753768,0,0,0,1,0,0,,,0.143928,2.044422,0,1,1,0,0,0,,,,13.061,0.753768,12.575,0.000,34.861
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.840979,0,0,1,1,0,1,0.949319,,0.005644,1.053386,0,1,1,0,0,0,,,,12.359,0.840979,12.136,0.000,33.196
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.877290,1,1,1,1,1,2,0.911914,0.911914,0.011244,1.094974,0,2,2,0,0,0,,,,12.948,0.877290,12.161,0.000,35.692
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.868298,1,1,1,1,1,3,0.926202,0.926202,0.009506,1.064629,0,3,3,0,0,0,,,,12.195,0.868298,12.579,0.000,35.141
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.890742,1,1,1,1,1,4,0.930610,0.930610,0.008315,1.074564,4,4,4,1,1,4,10.519547,0.000000,10.519547,12.824,0.890328,16.541,641.186,683.134
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.887858,1,1,1,1,1,5,0.952992,0.952992,0.003409,1.049326,4,5,5,1,1,4,10.319526,0.000000,10.319526,13.012,0.886370,13.193,400.323,442.667
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.887875,1,1,1,1,1,6,0.999895,0.999895,0.000011,1.000087,4,6,6,1,1,4,10.039066,0.000000,10.039066,13.186,0.884818,13.072,729.131,767.197
