frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,coverage_buffer_size,coverage_entries_added,coverage_entries_sampled,coverage_loss,coverage_region_entries_skipped,coverage_region_mean_student_conf,coverage_region_mean_teacher_conf,coverage_region_mean_conf_gap,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,1,0,2,1,1.706930,0.755115,0.951815,0,,,0.002373,1.022551,0,0,0,0,0,0,,,0,0,0,,0,,,,13.117,0.755115,13.033,0.000,37.516
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,1,0,2,1,1.755115,0.755115,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,13.200,0.755115,12.656,0.000,35.398
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.466580,0,0,0,1,0,2,2,1.052505,0.466580,0.585925,0,,,0.049906,1.151482,0,0,0,0,0,0,,,0,0,0,,0,,,,13.331,0.492451,13.809,0.000,52.500
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.000000,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,0,,,0,0,0,,0,,,,13.276,0.194959,12.962,0.000,35.742
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,1,0,1,1,0.510390,0.510390,0.000000,0,,,,,0,0,0,0,0,0,,,0,0,0,,0,,,,12.326,0.510390,12.643,0.000,35.874
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.341069,0,0,0,1,0,2,2,1.220502,0.341069,0.879434,0,,,0.013318,1.032040,0,0,0,0,0,0,,,0,0,0,,0,,,,13.085,0.399717,13.403,0.000,46.418
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.679488,0,0,0,0,0,2,1,0.679488,0.679488,0.000000,0,,,0.175943,8.918719,0,0,0,0,0,0,,,0,0,0,,0,,,,13.377,0.679488,13.301,0.000,43.805
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.734312,0,0,0,1,0,2,1,1.105777,0.734312,0.371464,0,,,0.063736,1.358659,0,0,0,0,0,0,,,0,0,0,,0,,,,13.324,0.734312,13.231,0.000,36.228
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.664311,0,0,0,1,0,2,1,1.255373,0.664311,0.591062,0,,,0.037911,1.145598,0,0,0,0,0,0,,,0,0,0,,0,,,,13.002,0.664311,12.976,0.000,39.028
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.630266,0,0,0,1,0,2,1,1.287476,0.630266,0.657210,0,,,0.031570,1.132426,0,0,0,0,0,0,,,0,0,0,,0,,,,13.035,0.630266,13.017,0.000,35.587
