frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,teacher_selected_score_memory,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,,0,,,0.220021,1.832352,0,0,0,0,0,0,,,13.355,0.574654,13.096,0.000,35.306
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,,0,,,0.204716,9.919765,0,0,0,0,0,0,,,14.183,0.677804,12.902,0.000,38.448
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,,0,,,0.001428,1.004984,0,0,0,0,0,0,,,12.180,0.697927,12.642,0.000,35.162
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,12.982,0.697927,13.141,0.000,35.784
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,,0,,,0.025500,1.171926,0,0,0,0,0,0,,,12.622,0.690378,13.140,0.000,46.199
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,,0,,,0.079027,1.487239,0,0,0,0,0,0,,,14.515,0.709036,13.726,0.000,49.331
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,1,1,0.641048,0.641048,0.000000,,0,,,0.443983,2.861190,0,0,0,0,0,0,,,12.615,0.641048,12.607,0.000,36.364
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707168,0,0,0,1,0,2,1,1.349001,0.707168,0.641833,,0,,,0.041494,1.086768,0,0,0,0,0,0,,,13.978,0.707168,12.576,0.000,38.518
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.408099,0,0,0,1,0,2,2,0.723012,0.408099,0.314913,,0,,,0.090652,1.279352,0,0,0,0,0,0,,,12.948,0.582385,13.032,0.000,43.591
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,1,0,2,1,0.759797,0.654145,0.105652,,0,,,0.152884,1.443241,0,0,0,0,0,0,,,13.244,0.654145,12.794,0.000,37.588
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,1,0,1,1,1.788028,0.810247,0.977781,,0,,,0.001960,1.002877,0,0,0,0,0,0,,,12.740,0.810247,11.921,0.000,33.326
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,1,0,2,1,1.763469,0.807693,0.955776,,0,,,0.004343,1.013998,0,0,0,0,0,0,,,14.335,0.807693,12.625,0.000,38.313
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,1,0,2,1,1.706930,0.755115,0.951815,,0,,,0.002373,1.022551,0,0,0,0,0,0,,,12.262,0.755115,12.404,0.000,33.480
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,1,0,2,1,1.755115,0.755115,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,13.058,0.755115,12.491,0.000,36.680
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.466580,0,0,0,1,0,2,2,1.052505,0.466580,0.585925,,0,,,0.049906,1.151482,0,0,0,0,0,0,,,13.438,0.492451,12.883,0.000,43.860
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.000000,0,0,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,,,12.934,0.194959,13.122,0.000,35.303
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,1,0,1,1,0.510390,0.510390,0.000000,,0,,,,,0,0,0,0,0,0,,,11.616,0.510390,11.916,0.000,31.786
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.341069,0,0,0,1,0,2,2,1.220502,0.341069,0.879434,,0,,,0.013318,1.032040,0,0,0,0,0,0,,,13.134,0.399717,13.423,0.000,45.456
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.679488,0,0,0,0,0,2,1,0.679488,0.679488,0.000000,,0,,,0.175943,8.918719,0,0,0,0,0,0,,,12.548,0.679488,11.966,0.000,33.984
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.734312,0,0,0,1,0,2,1,1.105777,0.734312,0.371464,,0,,,0.063736,1.358659,0,0,0,0,0,0,,,13.532,0.734312,12.710,0.000,37.621
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.664311,0,0,0,1,0,2,1,1.255373,0.664311,0.591062,,0,,,0.037911,1.145598,0,0,0,0,0,0,,,13.009,0.664311,11.848,0.000,35.324
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.630266,0,0,0,1,0,2,1,1.287476,0.630266,0.657210,,0,,,0.031570,1.132426,0,0,0,0,0,0,,,14.981,0.630266,13.390,0.000,39.632
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.630266,0,0,0,1,0,2,1,1.630266,0.630266,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,11.968,0.630266,11.797,0.000,34.182
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.380025,0,0,0,1,0,2,2,0.810703,0.380025,0.430677,,0,,,0.039806,1.366885,0,0,0,0,0,0,,,12.927,0.509901,13.385,0.000,45.255
