frame,memory_bank_active_slots,memory_bank_writes,memory_bank_appends,memory_bank_replacements,memory_bank_duplicate_skips,memory_bank_low_quality_skips,memory_bank_stable_medium_writes,memory_slot_scale_small,memory_slot_scale_medium,memory_slot_scale_large,memory_slot_conf_medium,memory_slot_conf_high,memory_retrieval_top1_sim,memory_retrieval_mean_topk_sim,memory_retrieval_top1_slot,memory_retrieval_entropy,memory_slot_mean_pairwise_sim,memory_slot_max_pairwise_sim,memory_bank_context_norm,memory_crosslite_mean_attn_entropy,memory_crosslite_top1_attn_weight,memory_crosslite_mean_context_norm,memory_debug_images_saved
82.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,0.9690510034561157,0.9669734239578247,8.0,0.9996886849403381,0.9799720048904419,1.0,0.9999999403953552,0.9892131388187408,0.15689858049154282,0.5092352628707886,10.0
83.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,10.0,1.0,0.9800669550895691,9.0,0.9718984365463257,0.9726349115371704,1.0,0.9999999403953552,0.9847081303596497,0.1478138342499733,0.5078433752059937,11.0
84.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,11.0,1.0,0.9964234232902527,10.0,0.9990779161453247,0.967601478099823,1.0,1.0,0.9829201698303223,0.13590338081121445,0.508726179599762,12.0
85.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,1.0,0.995707094669342,11.0,0.99867182970047,0.9655724763870239,1.0,1.0,0.9814926087856293,0.12743355333805084,0.5086075365543365,13.0
86.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,13.0,0.9999999403953552,0.9974360466003418,12.0,0.9995260238647461,0.9639443755149841,1.0,1.0,0.9819642305374146,0.11909849941730499,0.5094147175550461,14.0
87.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,14.0,1.0,1.0,13.0,1.0,0.9631599187850952,1.0,1.0,0.9822262525558472,0.11175601929426193,0.510204866528511,15.0
88.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,15.0,1.0,0.9966402053833008,14.0,0.9991861581802368,0.960891604423523,1.0,1.0,0.982765257358551,0.10466302558779716,0.5109657049179077,16.0
89.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,1.0,0.9999999403953552,15.0,1.0,0.9594975113868713,1.0,1.0,0.9833521246910095,0.09793165326118469,0.5116812437772751,17.0
90.0,16.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9958291053771973,0.9958192110061646,15.0,1.0,0.9594975113868713,1.0,1.0,0.9838047921657562,0.09786995872855186,0.5118408054113388,18.0
91.0,16.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.983647346496582,0.9836458563804626,13.0,1.0,0.9594975113868713,1.0,1.0,0.9837161600589752,0.09795853868126869,0.5118948519229889,19.0
92.0,16.0,16.0,16.0,0.0,3.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9722630977630615,0.9722552299499512,14.0,1.0,0.9594975113868713,1.0,1.0,0.9838902950286865,0.0976715125143528,0.5119884312152863,20.0
93.0,16.0,16.0,16.0,0.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.966846227645874,0.9668428897857666,14.0,1.0,0.9594975113868713,1.0,1.0,0.9836911261081696,0.09798520803451538,0.5120138227939606,21.0
94.0,16.0,16.0,16.0,0.0,5.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9698121547698975,0.969804048538208,14.0,1.0,0.9594975113868713,1.0,1.0,0.9837625324726105,0.0977642834186554,0.5120173841714859,22.0
95.0,16.0,16.0,16.0,0.0,6.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9735264778137207,0.9735262393951416,14.0,1.0,0.9594975113868713,1.0,1.0,0.983664482831955,0.09809106215834618,0.5121513307094574,23.0
96.0,16.0,16.0,16.0,0.0,7.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9773508310317993,0.9773486852645874,15.0,1.0,0.9594975113868713,1.0,1.0,0.9839737117290497,0.09771360829472542,0.5123555958271027,24.0
97.0,16.0,16.0,16.0,0.0,8.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9773443937301636,0.9773422479629517,15.0,1.0,0.9594975113868713,1.0,1.0,0.9839755892753601,0.09771240130066872,0.5124296844005585,25.0
98.0,16.0,16.0,16.0,0.0,9.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9674210548400879,0.967411994934082,15.0,1.0,0.9594975113868713,1.0,1.0,0.9839574098587036,0.09787295386195183,0.5125057995319366,26.0
99.0,16.0,16.0,16.0,0.0,10.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9674075841903687,0.967398464679718,15.0,1.0,0.9594975113868713,1.0,1.0,0.9839587211608887,0.09787293896079063,0.5125841051340103,27.0
100.0,16.0,16.0,16.0,0.0,11.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9696719646453857,0.9696705341339111,15.0,1.0,0.9594975113868713,1.0,1.0,0.9840202033519745,0.09768921136856079,0.5125920325517654,28.0
101.0,16.0,16.0,16.0,0.0,12.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9683213233947754,0.9683159589767456,14.0,1.0,0.9594975113868713,1.0,1.0,0.9836295545101166,0.09818574041128159,0.5126498490571976,29.0
102.0,16.0,16.0,16.0,0.0,13.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9641157984733582,0.9641125798225403,15.0,1.0,0.9594975113868713,1.0,1.0,0.9835940003395081,0.0981687419116497,0.512652188539505,30.0
103.0,16.0,16.0,16.0,0.0,14.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.957748532295227,0.9561088681221008,8.0,0.9998061060905457,0.9594975113868713,1.0,1.0,0.9835670292377472,0.09827322140336037,0.5127411931753159,31.0
104.0,16.0,16.0,16.0,0.0,15.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9625270962715149,0.9625260829925537,14.0,1.0,0.9594975113868713,1.0,1.0,0.9836402833461761,0.09815922752022743,0.5128587931394577,32.0
105.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9625183939933777,0.9625173807144165,14.0,1.0,0.9594975113868713,1.0,1.0,0.983642190694809,0.09815754741430283,0.5129568576812744,33.0
106.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9362119436264038,0.9362045526504517,13.0,1.0,0.9594975113868713,1.0,1.0,0.9834921658039093,0.09820175915956497,0.5129813551902771,33.0
107.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9364877939224243,0.9364773035049438,14.0,1.0,0.9594975113868713,1.0,1.0,0.9836386442184448,0.09813940152525902,0.513133779168129,33.0
108.0,16.0,16.0,16.0,0.0,17.0,0.0,0.0,0.0,12.0,4.0,0.0,16.0,0.9396893978118896,0.939681351184845,14.0,1.0,0.9594975113868713,1.0,1.0,0.9836861789226532,0.0981711596250534,0.5133214294910431,34.0
