frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights,active_model_kind,promotion_policy
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.8961352109909058,14.14140796661377,0.8961352109909058,0.8961352109909058,12.782272338867188,12.943872451782227,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.913781464099884,13.31827163696289,0.913781464099884,0.913781464099884,16.635295867919922,12.610976219177246,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.9142693877220154,13.272416114807129,0.9142693877220154,0.9142693877220154,13.351936340332031,13.26035213470459,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.9101726412773132,13.486432075500488,0.9101726412773132,0.9101726412773132,13.160256385803223,13.398176193237305,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.9101726412773132,13.065823554992676,0.9101726412773132,0.9101726412773132,13.097855567932129,13.415360450744629,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.8455967307090759,13.235103607177734,0.8455967307090759,0.8455967307090759,13.659071922302246,14.605440139770508,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.3300235867500305,13.255071640014648,0.3300235867500305,0.3300235867500305,13.785056114196777,13.328703880310059,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.9127153754234314,14.082015991210938,0.9127153754234314,0.9127153754234314,12.653632164001465,12.666367530822754,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.9692302346229553,13.015104293823242,0.9692302346229553,0.9692302346229553,12.847519874572754,13.113632202148438,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.9692302346229553,13.017215728759766,0.9692302346229553,0.9692302346229553,12.968000411987305,12.894144058227539,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.9487650990486145,13.539135932922363,0.9487650990486145,0.9487650990486145,13.463423728942871,13.638143539428711,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.9539020657539368,13.85587215423584,0.9539020657539368,0.9539020657539368,13.071904182434082,14.40783977508545,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.9501126408576965,13.351103782653809,0.9501126408576965,0.9501126408576965,13.15334415435791,13.38054370880127,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.9586370587348938,15.362560272216797,0.9586370587348938,0.9586370587348938,13.433600425720215,16.57516860961914,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.9607416391372681,13.451071739196777,0.9607416391372681,0.9607416391372681,13.494943618774414,13.416031837463379,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.9728386998176575,12.117823600769043,0.7577381730079651,0.9728386998176575,11.894399642944336,12.87161636352539,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.9672507643699646,13.142304420471191,0.9672507643699646,0.9672507643699646,12.811103820800781,12.341504096984863,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.9772761464118958,12.873791694641113,0.9772761464118958,0.9772761464118958,12.92892837524414,12.922431945800781,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.9475669264793396,13.023551940917969,0.9475669264793396,0.9475669264793396,13.026464462280273,13.286368370056152,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.9600803256034851,13.042048454284668,0.9600803256034851,0.9600803256034851,12.956192016601562,12.749759674072266,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.9622626900672913,13.10598373413086,0.9622626900672913,0.9622626900672913,13.179136276245117,13.099295616149902,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.9386079907417297,12.936479568481445,0.9386079907417297,0.9386079907417297,12.815936088562012,12.964991569519043,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.9593114852905273,12.65334415435791,0.9593114852905273,0.9593114852905273,12.660351753234863,12.563872337341309,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.9593114852905273,12.697471618652344,0.9593114852905273,0.9593114852905273,12.667360305786133,12.736096382141113,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.9606865048408508,13.033439636230469,0.9606865048408508,0.9606865048408508,12.224991798400879,12.895551681518555,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.9544152021408081,13.07472038269043,0.9544152021408081,0.9544152021408081,13.047840118408203,13.03711986541748,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.8493521809577942,12.47379207611084,0.8493521809577942,0.8493521809577942,12.664223670959473,12.674592018127441,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.9336746335029602,12.76095962524414,0.9336746335029602,0.9336746335029602,12.384672164916992,12.048352241516113,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.9268624186515808,12.447039604187012,0.9268624186515808,0.9268624186515808,12.878944396972656,12.864992141723633,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.9688299298286438,13.183808326721191,0.9688299298286438,0.9688299298286438,13.070816040039062,12.782464027404785,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.9720404744148254,13.363007545471191,0.9720404744148254,0.9720404744148254,13.132096290588379,14.703392028808594,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.939731776714325,11.982751846313477,0.939731776714325,0.939731776714325,12.45967960357666,12.807647705078125,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.8040992021560669,15.252320289611816,0.6930561065673828,0.8040992021560669,12.808511734008789,12.693696022033691,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.8040992021560669,12.171615600585938,0.6930561065673828,0.8040992021560669,15.264927864074707,12.431488037109375,0.0,0,0,0,0,1,0.9767441749572754,0.023255813866853714,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.871219277381897,12.612319946289062,0.6454811692237854,0.871219277381897,12.975808143615723,15.35974407196045,0.0,0,0,0,0,1,0.9545454382896423,0.022727273404598236,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.5256528854370117,12.655903816223145,0.32234126329421997,0.5256528854370117,12.174495697021484,12.66710376739502,0.0,0,0,0,0,1,0.9333333373069763,0.02222222276031971,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.7413448691368103,14.4170560836792,0.7413448691368103,0.7413448691368103,12.413439750671387,12.301407814025879,0.0,0,0,0,0,1,0.9347826242446899,0.043478261679410934,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.921039342880249,12.815872192382812,0.9150039553642273,0.921039342880249,15.489407539367676,12.543840408325195,0.0,0,0,0,0,1,0.936170220375061,0.042553190141916275,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.9740371108055115,12.675968170166016,0.9040115475654602,0.9740371108055115,12.849120140075684,15.145631790161133,0.0,0,0,0,0,1,0.9166666865348816,0.0625,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.9706832766532898,14.032896041870117,0.8989348411560059,0.9706832766532898,13.169856071472168,13.007264137268066,0.0,0,0,0,0,1,0.8979591727256775,0.06122449040412903,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.9665782451629639,12.517919540405273,0.7865594029426575,0.9665782451629639,13.508223533630371,12.640992164611816,0.0,0,0,0,0,1,0.8799999952316284,0.05999999865889549,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.978520393371582,12.870816230773926,0.8247281908988953,0.978520393371582,12.61616039276123,12.817343711853027,0.0,0,0,0,0,1,0.8627451062202454,0.05882352963089943,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.978520393371582,12.506400108337402,0.8247281908988953,0.978520393371582,12.47439956665039,12.01750373840332,0.0,0,0,0,0,1,0.8461538553237915,0.057692307978868484,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.9796135425567627,12.6976957321167,0.7032677531242371,0.9796135425567627,12.443008422851562,12.68665599822998,0.0,0,0,0,0,1,0.8301886916160583,0.056603774428367615,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.9887189269065857,14.518239974975586,0.7517624497413635,0.9887189269065857,12.761055946350098,14.354240417480469,0.0,0,0,0,0,1,0.8148148059844971,0.0555555559694767,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.962722659111023,12.08460807800293,0.7608059048652649,0.962722659111023,11.92188835144043,12.557472229003906,0.0,0,0,0,0,1,0.800000011920929,0.05454545468091965,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.9798989295959473,13.1911039352417,0.8300352692604065,0.9798989295959473,12.562591552734375,11.791232109069824,0.0,0,0,0,0,1,0.7857142686843872,0.0535714291036129,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
