frame,update_applied,grad_m10_Upsample,grad_m11_Concat,grad_m12_C2f,grad_m13_Upsample,grad_m14_Concat,grad_m15_C2f,grad_m16_Conv,grad_m17_Concat,grad_m18_C2f,grad_m19_Conv,grad_m20_Concat,grad_m21_C2f,grad_m22_Detect,delta_m10_Upsample,delta_m11_Concat,delta_m12_C2f,delta_m13_Upsample,delta_m14_Concat,delta_m15_C2f,delta_m16_Conv,delta_m17_Concat,delta_m18_C2f,delta_m19_Conv,delta_m20_Concat,delta_m21_C2f,delta_m22_Detect
97,1,0.00000000e+00,0.00000000e+00,3.05116958e+02,0.00000000e+00,0.00000000e+00,1.88552949e+02,1.16674052e+02,0.00000000e+00,2.52172804e+02,1.37743298e+02,0.00000000e+00,2.36862432e+02,2.91502671e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.01084420e-03
98,1,0.00000000e+00,0.00000000e+00,3.04859604e+02,0.00000000e+00,0.00000000e+00,1.89380711e+02,1.17613520e+02,0.00000000e+00,2.52959473e+02,1.38225272e+02,0.00000000e+00,2.38110930e+02,2.95468887e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.04537337e-03
99,1,0.00000000e+00,0.00000000e+00,3.06166336e+02,0.00000000e+00,0.00000000e+00,1.90732030e+02,1.18801076e+02,0.00000000e+00,2.55404436e+02,1.40092300e+02,0.00000000e+00,2.41282357e+02,2.99836779e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.69267959e-03
100,1,0.00000000e+00,0.00000000e+00,3.08045205e+02,0.00000000e+00,0.00000000e+00,1.92676445e+02,1.20489862e+02,0.00000000e+00,2.58221836e+02,1.42021325e+02,0.00000000e+00,2.44432754e+02,3.05203841e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.64547236e-03
101,1,0.00000000e+00,0.00000000e+00,3.11408624e+02,0.00000000e+00,0.00000000e+00,1.95254657e+02,1.22433859e+02,0.00000000e+00,2.62030004e+02,1.44756832e+02,0.00000000e+00,2.49322286e+02,3.12157406e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.90817536e-03
102,1,0.00000000e+00,0.00000000e+00,3.22343740e+02,0.00000000e+00,0.00000000e+00,2.01496669e+02,1.26327173e+02,0.00000000e+00,2.70236833e+02,1.47945317e+02,0.00000000e+00,2.54467843e+02,3.17474100e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.95687423e-03
103,1,0.00000000e+00,0.00000000e+00,3.34537937e+02,0.00000000e+00,0.00000000e+00,2.09097484e+02,1.31392724e+02,0.00000000e+00,2.82435921e+02,1.52743767e+02,0.00000000e+00,2.61626409e+02,3.23966188e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.42800730e-03
104,1,0.00000000e+00,0.00000000e+00,3.43173598e+02,0.00000000e+00,0.00000000e+00,2.14613176e+02,1.35077766e+02,0.00000000e+00,2.90347457e+02,1.56103345e+02,0.00000000e+00,2.67131526e+02,3.29639479e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.37342721e-03
105,1,0.00000000e+00,0.00000000e+00,3.48287099e+02,0.00000000e+00,0.00000000e+00,2.18332701e+02,1.37565040e+02,0.00000000e+00,2.95062735e+02,1.58723547e+02,0.00000000e+00,2.71725981e+02,3.35533995e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.15097565e-03
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,
