frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,student_delta_conf,student_pre_post_iou,student_pre_post_center_shift,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,1936,1216,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,1,0.766669,364.453,0.000,1936.000,1216.000,0.534332,0.000000,1.000000,0.000000,0,0,,,,,12.300,11.512,11.631
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,1936,1216,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,1,0.758212,442.884,0.000,1936.000,1216.000,0.950093,0.000000,1.000000,0.000000,0,0,,,,,13.059,12.165,11.945
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,1,0.777303,700.867,509.335,1107.677,797.211,0.064501,0.000000,1.000000,0.000000,0,0,,,,,12.277,12.518,11.950
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,1936,1216,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,1,0.777303,700.867,509.335,1107.677,797.211,1.000000,0.000000,1.000000,0.000000,0,0,,,,,13.045,12.711,11.997
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,1936,1216,1,0.850822,710.782,0.000,1928.242,645.556,0.063683,1,0.850822,710.782,0.000,1928.242,645.556,0.063683,1,0.850822,710.782,0.000,1928.242,645.556,0.063683,0.000000,1.000000,0.000000,0,0,,,,,12.579,12.483,12.216
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,1936,1216,1,0.837120,710.056,0.000,1927.862,640.912,0.991908,1,0.837120,710.056,0.000,1927.862,640.912,0.991908,1,0.837120,710.056,0.000,1927.862,640.912,0.991908,0.000000,1.000000,0.000000,0,0,,,,,12.947,12.491,12.335
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,1936,1216,1,0.837567,703.425,0.000,1926.635,637.504,0.988328,1,0.837567,703.425,0.000,1926.635,637.504,0.988328,1,0.837567,703.425,0.000,1926.635,637.504,0.988328,0.000000,1.000000,0.000000,0,0,,,,,13.107,12.363,12.312
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,1936,1216,1,0.839836,701.277,0.000,1926.448,636.894,0.997140,1,0.839836,701.277,0.000,1926.448,636.894,0.997140,1,0.839836,701.277,0.000,1926.448,636.894,0.997140,0.000000,1.000000,0.000000,0,0,,,,,13.262,12.596,13.023
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,1936,1216,1,0.855603,687.263,0.000,1925.176,630.750,0.978245,1,0.855603,687.263,0.000,1925.176,630.750,0.978245,1,0.855603,687.263,0.000,1925.176,630.750,0.978245,0.000000,1.000000,0.000000,0,0,,,,,12.612,12.633,12.303
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,1936,1216,1,0.761126,405.616,0.000,1936.000,1216.000,0.419579,1,0.761126,405.616,0.000,1936.000,1216.000,0.419579,1,0.761126,405.616,0.000,1936.000,1216.000,0.419579,0.000000,1.000000,0.000000,0,0,,,,,12.164,11.820,11.993
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,1936,1216,1,0.796143,667.721,0.000,1911.769,648.223,0.433339,1,0.796143,667.721,0.000,1911.769,648.223,0.433339,1,0.796143,667.721,0.000,1911.769,648.223,0.433339,0.000000,1.000000,0.000000,0,0,,,,,12.177,11.966,12.043
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,1936,1216,1,0.777080,678.485,0.000,1913.934,638.899,0.975415,1,0.777080,678.485,0.000,1913.934,638.899,0.975415,1,0.777080,678.485,0.000,1913.934,638.899,0.975415,0.000000,1.000000,0.000000,0,0,,,,,12.618,12.392,12.318
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,1936,1216,1,0.807009,689.483,0.787,1925.826,633.531,0.972282,1,0.807009,689.483,0.787,1925.826,633.531,0.972282,1,0.807009,689.483,0.787,1925.826,633.531,0.972282,0.000000,1.000000,0.000000,0,0,,,,,13.056,12.397,14.306
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,1936,1216,1,0.786611,685.790,0.452,1929.575,649.801,0.968598,1,0.786611,685.790,0.452,1929.575,649.801,0.968598,1,0.786611,685.790,0.452,1929.575,649.801,0.968598,0.000000,1.000000,0.000000,0,0,,,,,12.649,13.116,13.145
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,1936,1216,1,0.574654,680.586,0.000,1929.099,1185.332,0.545423,1,0.574654,680.586,0.000,1929.099,1185.332,0.545423,1,0.574654,680.586,0.000,1929.099,1185.332,0.545423,0.000000,1.000000,0.000000,0,0,,,,,12.239,12.923,12.282
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,1936,1216,1,0.677804,713.695,498.549,1144.386,844.939,0.100809,1,0.677804,713.695,498.549,1144.386,844.939,0.100809,1,0.677804,713.695,498.549,1144.386,844.939,0.100809,0.000000,1.000000,0.000000,0,0,,,,,12.721,12.416,12.173
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,1936,1216,1,0.697927,715.282,499.181,1146.442,846.919,0.984178,1,0.697927,715.282,499.181,1146.442,846.919,0.984178,1,0.697927,715.282,499.181,1146.442,846.919,0.984178,0.000000,1.000000,0.000000,0,0,,,,,11.960,12.165,12.335
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,1936,1216,1,0.697927,715.282,499.181,1146.442,846.919,1.000000,1,0.697927,715.282,499.181,1146.442,846.919,1.000000,1,0.697927,715.282,499.181,1146.442,846.919,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.597,12.512,12.030
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,1936,1216,1,0.690378,689.803,0.000,1921.254,1209.240,0.100684,1,0.690378,689.803,0.000,1921.254,1209.240,0.100684,1,0.690378,689.803,0.000,1921.254,1209.240,0.100684,0.000000,1.000000,0.000000,0,0,,,,,12.259,12.469,12.009
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,1936,1216,1,0.709036,680.326,0.000,1930.098,1207.864,0.984235,1,0.709036,680.326,0.000,1930.098,1207.864,0.984235,1,0.709036,680.326,0.000,1930.098,1207.864,0.984235,0.000000,1.000000,0.000000,0,0,,,,,12.534,12.265,12.044
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,1936,1216,1,0.641048,755.522,0.403,1918.903,643.085,0.495301,1,0.641048,755.522,0.403,1918.903,643.085,0.495301,1,0.641048,755.522,0.403,1918.903,643.085,0.495301,0.000000,1.000000,0.000000,0,0,,,,,11.711,12.312,11.806
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,1936,1216,1,0.707168,609.881,1.258,1905.380,628.476,0.859574,1,0.707168,609.881,1.258,1905.380,628.476,0.859574,1,0.707168,609.881,1.258,1905.380,628.476,0.859574,0.000000,1.000000,0.000000,0,0,,,,,12.740,12.474,11.770
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,1936,1216,1,0.582385,734.371,456.692,1160.809,1079.536,0.072897,1,0.582385,734.371,456.692,1160.809,1079.536,0.072897,1,0.582385,734.371,456.692,1160.809,1079.536,0.072897,0.000000,1.000000,0.000000,0,0,,,,,12.035,12.073,11.949
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,1936,1216,1,0.654145,691.750,0.000,1930.421,1211.234,0.177032,1,0.654145,691.750,0.000,1930.421,1211.234,0.177032,1,0.654145,691.750,0.000,1930.421,1211.234,0.177032,0.000000,1.000000,0.000000,0,0,,,,,12.770,12.429,12.229
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,1936,1216,1,0.810247,696.050,0.000,1926.327,1216.000,0.989357,1,0.810247,696.050,0.000,1926.327,1216.000,0.989357,1,0.810247,696.050,0.000,1926.327,1216.000,0.989357,0.000000,1.000000,0.000000,0,0,,,,,12.169,12.192,11.784
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,1936,1216,1,0.807693,679.031,0.000,1926.528,1216.000,0.986196,1,0.807693,679.031,0.000,1926.528,1216.000,0.986196,1,0.807693,679.031,0.000,1926.528,1216.000,0.986196,0.000000,1.000000,0.000000,0,0,,,,,14.225,13.601,13.276
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,1936,1216,1,0.755115,660.371,0.000,1936.000,1216.000,0.977947,1,0.755115,660.371,0.000,1936.000,1216.000,0.977947,1,0.755115,660.371,0.000,1936.000,1216.000,0.977947,0.000000,1.000000,0.000000,0,0,,,,,12.175,12.096,11.923
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,1936,1216,1,0.755115,660.371,0.000,1936.000,1216.000,1.000000,1,0.755115,660.371,0.000,1936.000,1216.000,1.000000,1,0.755115,660.371,0.000,1936.000,1216.000,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.639,12.290,12.134
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,1936,1216,1,0.492451,765.575,449.054,1205.971,1146.543,0.198026,1,0.492451,765.575,449.054,1205.971,1146.543,0.198026,1,0.492451,765.575,449.054,1205.971,1146.543,0.198026,0.000000,1.000000,0.000000,0,0,,,,,12.715,11.696,15.180
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,1936,1216,1,0.194959,501.006,0.000,1936.000,1216.000,0.176034,1,0.194959,501.006,0.000,1936.000,1216.000,0.176034,1,0.194959,501.006,0.000,1936.000,1216.000,0.176034,0.000000,1.000000,0.000000,0,0,,,,,12.642,13.464,12.505
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,1936,1216,1,0.510390,599.416,0.000,1936.000,1216.000,0.931422,1,0.510390,599.416,0.000,1936.000,1216.000,0.931422,1,0.510390,599.416,0.000,1936.000,1216.000,0.931422,0.000000,1.000000,0.000000,0,0,,,,,11.987,12.409,13.737
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,1936,1216,1,0.399717,736.498,483.813,1162.100,982.279,0.130530,1,0.399717,736.498,483.813,1162.100,982.279,0.130530,1,0.399717,736.498,483.813,1162.100,982.279,0.130530,0.000000,1.000000,0.000000,0,0,,,,,12.139,12.292,12.449
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,1936,1216,1,0.679488,729.783,486.102,1152.634,930.874,0.860323,1,0.679488,729.783,486.102,1152.634,930.874,0.860323,1,0.679488,729.783,486.102,1152.634,930.874,0.860323,0.000000,1.000000,0.000000,0,0,,,,,12.141,12.037,11.791
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,1936,1216,1,0.734312,724.345,482.979,1146.115,1088.821,0.716542,1,0.734312,724.345,482.979,1146.115,1088.821,0.716542,1,0.734312,724.345,482.979,1146.115,1088.821,0.716542,0.000000,1.000000,0.000000,0,0,,,,,12.637,12.330,12.059
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,1936,1216,1,0.664311,741.772,478.927,1157.362,1183.298,0.807707,1,0.664311,741.772,478.927,1157.362,1183.298,0.807707,1,0.664311,741.772,478.927,1157.362,1183.298,0.807707,0.000000,1.000000,0.000000,0,0,,,,,11.801,12.113,12.431
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,1936,1216,1,0.630266,748.729,481.903,1164.231,1104.035,0.855965,1,0.630266,748.729,481.903,1164.231,1104.035,0.855965,1,0.630266,748.729,481.903,1164.231,1104.035,0.855965,0.000000,1.000000,0.000000,0,0,,,,,12.475,12.638,11.966
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,1936,1216,1,0.630266,748.729,481.903,1164.231,1104.035,1.000000,1,0.630266,748.729,481.903,1164.231,1104.035,1.000000,1,0.630266,748.729,481.903,1164.231,1104.035,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.209,12.022,11.749
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,1936,1216,1,0.509901,981.177,0.000,1936.000,766.754,0.055562,1,0.509901,981.177,0.000,1936.000,766.754,0.055562,1,0.509901,981.177,0.000,1936.000,766.754,0.055562,0.000000,1.000000,0.000000,0,0,,,,,12.622,12.206,11.819
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,1936,1216,1,0.757477,759.688,481.568,1173.331,919.154,0.063845,1,0.757477,759.688,481.568,1173.331,919.154,0.063845,1,0.757477,759.688,481.568,1173.331,919.154,0.063845,0.000000,1.000000,0.000000,0,0,,,,,12.290,13.134,11.943
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,1936,1216,1,0.482319,692.469,1.798,1936.000,615.646,0.062394,1,0.482319,692.469,1.798,1936.000,615.646,0.062394,1,0.482319,692.469,1.798,1936.000,615.646,0.062394,0.000000,1.000000,0.000000,0,0,,,,,13.028,12.558,11.828
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,1936,1216,1,0.631844,748.539,481.675,1158.014,1092.977,0.057215,1,0.631844,748.539,481.675,1158.014,1092.977,0.057215,1,0.631844,748.539,481.675,1158.014,1092.977,0.057215,0.000000,1.000000,0.000000,0,0,,,,,14.140,15.016,12.370
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,1936,1216,1,0.631844,748.539,481.675,1158.014,1092.977,1.000000,1,0.631844,748.539,481.675,1158.014,1092.977,1.000000,1,0.631844,748.539,481.675,1158.014,1092.977,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.818,12.578,12.531
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,1936,1216,1,0.672385,745.479,481.804,1151.773,1108.195,0.953861,1,0.672385,745.479,481.804,1151.773,1108.195,0.953861,1,0.672385,745.479,481.804,1151.773,1108.195,0.953861,0.000000,1.000000,0.000000,0,0,,,,,12.621,12.456,12.492
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,1936,1216,1,0.737344,748.844,479.494,1153.712,1124.721,0.958423,1,0.737344,748.844,479.494,1153.712,1124.721,0.958423,1,0.737344,748.844,479.494,1153.712,1124.721,0.958423,0.000000,1.000000,0.000000,0,0,,,,,12.694,12.935,12.821
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,1936,1216,1,0.821736,752.216,482.218,1154.328,804.596,0.495097,1,0.821736,752.216,482.218,1154.328,804.596,0.495097,1,0.821736,752.216,482.218,1154.328,804.596,0.495097,0.000000,1.000000,0.000000,0,0,,,,,12.436,12.533,12.482
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,1936,1216,1,0.821736,752.216,482.218,1154.328,804.596,1.000000,1,0.821736,752.216,482.218,1154.328,804.596,1.000000,1,0.821422,752.212,482.232,1154.395,804.778,0.999217,-0.000315,0.999217,0.102767,1,1,2.959857,0.715808,1.050726,1.193323,13.038,12.922,18.278
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,1936,1216,1,0.881008,758.525,481.300,1157.563,792.052,0.936127,1,0.880809,758.529,481.320,1157.639,792.178,0.936380,1,0.880487,758.528,481.408,1157.835,792.288,0.936111,-0.000322,0.998867,0.139089,1,1,2.747373,0.502229,1.183607,1.061537,13.439,12.393,12.395
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,1936,1216,1,0.756279,758.363,479.346,1155.806,784.340,0.964469,1,0.756310,758.364,479.479,1156.057,784.608,0.965696,1,0.756310,758.364,479.479,1156.057,784.608,0.964607,0.000000,1.000000,0.000000,0,0,,,,,12.494,12.397,12.653
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,1936,1216,1,0.538940,662.033,0.000,1936.000,609.890,0.061306,1,0.538172,662.246,0.000,1936.000,609.846,0.061262,1,0.538172,662.246,0.000,1936.000,609.846,0.061262,0.000000,1.000000,0.000000,0,0,,,,,11.558,11.776,12.111
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,1936,1216,1,0.821434,745.967,482.190,1139.976,825.501,0.058375,1,0.820563,745.963,482.272,1140.175,825.774,0.058348,1,0.820563,745.963,482.272,1140.175,825.774,0.058348,0.000000,1.000000,0.000000,0,0,,,,,12.442,11.855,12.001
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,1936,1216,1,0.737322,748.453,483.377,1138.993,800.662,0.916054,1,0.735514,748.445,483.441,1139.197,801.241,0.917057,1,0.735514,748.445,483.441,1139.197,801.241,0.917057,0.000000,1.000000,0.000000,0,0,,,,,11.892,11.580,11.759
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,1936,1216,1,0.852521,750.286,482.966,1137.303,808.227,0.966896,1,0.851859,750.273,483.043,1137.500,808.508,0.967847,1,0.851000,750.259,483.116,1137.674,808.667,0.968053,-0.000859,0.998799,0.140941,1,1,3.773526,0.877999,1.701040,1.194487,12.800,12.489,12.267
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,1936,1216,1,0.420809,1109.247,0.000,1936.000,652.540,0.007202,1,0.418726,1109.238,0.000,1936.000,652.458,0.007247,1,0.418726,1109.238,0.000,1936.000,652.458,0.007288,0.000000,1.000000,0.000000,0,0,,,,,12.059,11.746,11.577
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,1936,1216,1,0.436165,744.945,478.542,1132.588,1194.383,0.004996,1,0.434176,744.930,478.506,1132.779,1194.178,0.005037,1,0.434176,744.930,478.506,1132.779,1194.178,0.005037,0.000000,1.000000,0.000000,0,0,,,,,12.514,12.049,11.827
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,1936,1216,1,0.436165,744.945,478.542,1132.588,1194.383,1.000000,1,0.434176,744.930,478.506,1132.779,1194.178,1.000000,1,0.434176,744.930,478.506,1132.779,1194.178,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.043,12.223,11.313
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,1936,1216,1,0.754005,742.468,482.590,1121.804,840.402,0.484395,1,0.751796,742.430,482.741,1121.888,840.539,0.484348,1,0.751796,742.430,482.741,1121.888,840.539,0.484348,0.000000,1.000000,0.000000,0,0,,,,,12.690,12.530,12.044
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,1936,1216,1,0.840863,742.978,482.844,1117.780,826.647,0.949367,1,0.839389,742.933,482.984,1117.837,826.873,0.949594,1,0.838267,742.906,483.086,1117.868,826.971,0.949730,-0.001122,0.999267,0.099798,1,1,3.172483,0.638081,1.497229,1.037173,11.909,11.666,12.332
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,1936,1216,1,0.877200,744.519,482.593,1115.821,799.579,0.912004,1,0.875099,744.462,482.893,1115.756,800.057,0.912904,1,0.873823,744.475,483.051,1115.748,800.234,0.913086,-0.001276,0.998886,0.167555,1,1,3.242211,0.643886,1.578266,1.020059,12.873,13.149,12.562
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,1936,1216,1,0.868301,743.968,483.268,1113.928,821.964,0.926238,1,0.864369,743.929,483.616,1114.096,822.553,0.926425,1,0.862716,743.909,483.725,1114.130,822.849,0.926265,-0.001653,0.998658,0.202862,1,1,2.992213,0.766908,1.127505,1.097799,12.813,12.201,11.937
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,1936,1216,1,0.890759,747.502,483.394,1113.806,801.695,0.930499,1,0.886264,747.456,483.909,1113.669,802.619,0.930277,1,0.884999,747.491,484.037,1113.674,802.905,0.930015,-0.001266,0.998591,0.208203,1,1,2.354889,0.551238,0.798781,1.004870,13.085,12.758,12.066
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,1936,1216,1,0.887828,750.210,484.179,1110.432,792.658,0.953047,1,0.882008,750.201,484.702,1110.193,794.253,0.954762,1,0.880715,750.221,484.754,1110.188,794.646,0.955352,-0.001293,0.998494,0.223080,1,1,2.048034,0.415370,0.679142,0.953523,13.470,12.456,12.657
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,1936,1216,1,0.887840,750.203,484.175,1110.431,792.623,0.999856,1,0.880715,750.221,484.754,1110.188,794.646,0.998494,1,0.879264,750.266,484.795,1110.225,794.986,0.998545,-0.001451,0.998545,0.194884,1,1,2.941311,0.606139,1.292907,1.042265,13.071,12.559,12.468
